LOYALTY_CARD_#,LIFESTAGE,PREMIUM_CUSTOMER
1273,Young Singles/Couples,Mainstream
1274,Retirees,Mainstream
1275,Retirees,Mainstream
1276,Midage Singles/Couples,Mainstream
1277,Older Singles/Couples,Premium
1278,New Families,Mainstream
1280,Older Singles/Couples,Budget
1281,Older Families,Budget
1282,Young Singles/Couples,Budget
1283,Older Families,Budget
1284,Young Families,Mainstream
1285,Young Singles/Couples,Mainstream
1286,Young Singles/Couples,Mainstream
1287,Retirees,Mainstream
1288,Older Families,Budget
1289,Young Singles/Couples,Premium
1290,Retirees,Budget
1291,Young Singles/Couples,Mainstream
1292,Retirees,Premium
1293,Older Singles/Couples,Budget
1294,Retirees,Budget
1297,Young Singles/Couples,Mainstream
1298,Young Families,Mainstream
1303,Young Singles/Couples,Mainstream
1305,Young Singles/Couples,Budget
1306,Retirees,Budget
1307,Midage Singles/Couples,Budget
1308,Young Singles/Couples,Mainstream
1310,Older Singles/Couples,Budget
1312,Older Singles/Couples,Mainstream
1313,Young Singles/Couples,Budget
1314,Young Singles/Couples,Budget
1317,Older Families,Premium
1318,New Families,Mainstream
1320,Young Singles/Couples,Premium
1324,Young Singles/Couples,Budget
1326,Retirees,Mainstream
1327,Retirees,Mainstream
1330,Retirees,Premium
1333,New Families,Budget
1335,Young Singles/Couples,Budget
1336,Retirees,Budget
1337,Retirees,Mainstream
1338,Young Singles/Couples,Mainstream
1339,Older Families,Premium
1341,Young Families,Mainstream
1342,Retirees,Mainstream
1343,Midage Singles/Couples,Budget
1345,Older Singles/Couples,Mainstream
1346,Young Singles/Couples,Mainstream
1347,Retirees,Mainstream
1348,Midage Singles/Couples,Budget
1349,Older Singles/Couples,Budget
1350,Older Families,Budget
1351,Young Singles/Couples,Budget
1352,Older Singles/Couples,Mainstream
1353,Young Singles/Couples,Mainstream
1354,Older Singles/Couples,Budget
1355,Midage Singles/Couples,Premium
1356,Older Families,Premium
1357,Older Singles/Couples,Budget
1358,Older Families,Mainstream
1359,Young Singles/Couples,Mainstream
1360,Young Singles/Couples,Mainstream
1361,Retirees,Budget
1362,Older Families,Mainstream
1363,Young Families,Budget
1364,Retirees,Premium
1365,Retirees,Mainstream
1366,Midage Singles/Couples,Premium
1367,Older Families,Budget
1369,New Families,Premium
1370,New Families,Budget
1373,Older Families,Budget
1374,Midage Singles/Couples,Premium
1375,Older Singles/Couples,Premium
1376,Retirees,Mainstream
1377,Older Singles/Couples,Premium
1378,Older Singles/Couples,Premium
1380,Young Singles/Couples,Premium
1383,Young Singles/Couples,Mainstream
1384,Young Singles/Couples,Budget
1385,Young Singles/Couples,Budget
1386,Older Singles/Couples,Mainstream
1390,Young Families,Premium
1392,Young Families,Budget
1394,Young Singles/Couples,Mainstream
1395,Midage Singles/Couples,Budget
1396,Midage Singles/Couples,Premium
1397,Young Singles/Couples,Mainstream
1399,Midage Singles/Couples,Premium
1400,Retirees,Premium
1401,New Families,Premium
1402,Young Singles/Couples,Mainstream
1403,Young Families,Budget
1404,Older Singles/Couples,Mainstream
1406,Older Singles/Couples,Premium
1407,Midage Singles/Couples,Mainstream
1408,Retirees,Mainstream
1409,Young Singles/Couples,Mainstream
1410,Retirees,Budget
1411,Midage Singles/Couples,Budget
1412,Older Families,Mainstream
1413,Older Families,Budget
1414,Retirees,Mainstream
1415,Young Singles/Couples,Mainstream
1417,Young Singles/Couples,Mainstream
1418,Midage Singles/Couples,Premium
1419,Young Families,Budget
1420,Older Families,Mainstream
1421,Young Singles/Couples,Premium
1422,Midage Singles/Couples,Mainstream
1423,Young Singles/Couples,Mainstream
1424,Retirees,Budget
1425,Young Singles/Couples,Mainstream
1429,Young Singles/Couples,Budget
1430,Young Families,Premium
1431,Retirees,Budget
1433,New Families,Budget
1434,Young Singles/Couples,Mainstream
1436,Young Families,Premium
1437,New Families,Premium
1438,New Families,Mainstream
1439,Young Families,Premium
1440,Retirees,Mainstream
1443,Young Families,Budget
1444,Young Singles/Couples,Mainstream
1446,Older Families,Premium
1448,Older Families,Budget
1450,Young Singles/Couples,Mainstream
1451,Midage Singles/Couples,Mainstream
1452,Older Families,Budget
1453,Young Singles/Couples,Premium
1454,Older Singles/Couples,Mainstream
1455,Young Singles/Couples,Mainstream
1456,Older Families,Budget
1457,Young Singles/Couples,Budget
1459,Older Families,Budget
1460,Young Singles/Couples,Premium
1461,Retirees,Mainstream
1462,Young Singles/Couples,Premium
1463,Retirees,Mainstream
1464,Older Families,Budget
1465,Young Singles/Couples,Mainstream
1467,Older Singles/Couples,Mainstream
1468,Young Singles/Couples,Budget
1470,Older Families,Mainstream
1471,Young Families,Mainstream
1473,Retirees,Mainstream
1474,Older Families,Budget
1475,Midage Singles/Couples,Budget
1477,Older Families,Premium
1478,Young Singles/Couples,Budget
1480,Older Singles/Couples,Premium
1482,Young Singles/Couples,Mainstream
1484,Young Singles/Couples,Budget
1485,Midage Singles/Couples,Premium
1486,Older Families,Budget
1487,Young Singles/Couples,Budget
1488,Older Singles/Couples,Budget
1489,Retirees,Budget
1490,Young Singles/Couples,Mainstream
1491,Midage Singles/Couples,Budget
1494,Young Singles/Couples,Budget
1495,Midage Singles/Couples,Budget
1501,Retirees,Mainstream
1502,Young Families,Mainstream
1504,Older Families,Budget
2000,New Families,Mainstream
2001,Young Singles/Couples,Budget
2002,Retirees,Mainstream
2003,New Families,Premium
2004,Young Families,Budget
2006,Older Families,Mainstream
2008,Young Singles/Couples,Budget
2010,New Families,Premium
2012,Midage Singles/Couples,Mainstream
2013,Retirees,Mainstream
2015,Young Families,Premium
2017,Older Families,Budget
2018,Older Singles/Couples,Mainstream
2019,Young Singles/Couples,Budget
2020,Retirees,Premium
2022,Midage Singles/Couples,Premium
2023,Retirees,Mainstream
2024,Young Singles/Couples,Budget
2025,Retirees,Premium
2026,Young Singles/Couples,Mainstream
2027,Retirees,Budget
2030,Retirees,Premium
2032,Young Singles/Couples,Mainstream
2033,Young Singles/Couples,Premium
2034,Young Singles/Couples,Budget
2035,Midage Singles/Couples,Mainstream
2036,New Families,Premium
2038,Young Singles/Couples,Mainstream
2040,Retirees,Mainstream
2041,Older Singles/Couples,Premium
2042,Young Singles/Couples,Premium
2043,Older Families,Budget
2044,Retirees,Premium
2045,Young Singles/Couples,Budget
2047,Young Singles/Couples,Budget
2048,New Families,Mainstream
2049,Young Singles/Couples,Premium
2050,Young Families,Mainstream
2051,Older Singles/Couples,Mainstream
2052,Young Singles/Couples,Mainstream
2053,New Families,Mainstream
2055,Young Families,Budget
2056,Retirees,Budget
2058,Midage Singles/Couples,Mainstream
2059,Young Families,Budget
2060,Young Singles/Couples,Mainstream
2069,Young Singles/Couples,Budget
2071,Young Singles/Couples,Budget
2074,Retirees,Mainstream
2080,Young Singles/Couples,Budget
2081,Retirees,Mainstream
2082,Older Families,Mainstream
2083,Retirees,Mainstream
2084,Young Singles/Couples,Mainstream
2086,Retirees,Budget
2088,Young Singles/Couples,Budget
2089,Older Singles/Couples,Budget
2090,Older Singles/Couples,Budget
2091,Young Singles/Couples,Premium
2093,Older Singles/Couples,Mainstream
2095,Older Singles/Couples,Premium
2096,Retirees,Budget
2097,Older Singles/Couples,Mainstream
2098,Retirees,Mainstream
2100,Young Singles/Couples,Mainstream
2101,Older Singles/Couples,Mainstream
2102,Young Singles/Couples,Budget
2103,Older Families,Mainstream
2104,Young Singles/Couples,Premium
2105,Young Singles/Couples,Mainstream
2106,Young Singles/Couples,Premium
2107,Young Families,Mainstream
2112,Retirees,Mainstream
2113,Young Families,Budget
2114,Young Families,Budget
2116,Young Singles/Couples,Budget
2117,Older Families,Mainstream
2119,Young Singles/Couples,Budget
2120,Older Singles/Couples,Premium
2121,Young Singles/Couples,Mainstream
2122,Young Singles/Couples,Premium
2123,Older Singles/Couples,Budget
2125,Retirees,Mainstream
2129,Young Singles/Couples,Mainstream
2130,Older Families,Budget
2131,Young Singles/Couples,Mainstream
2133,Older Families,Budget
2135,Retirees,Mainstream
2136,Older Singles/Couples,Premium
2139,Midage Singles/Couples,Premium
2141,Young Singles/Couples,Budget
2143,Older Singles/Couples,Mainstream
2144,Older Singles/Couples,Budget
2146,Older Families,Premium
2147,Older Singles/Couples,Premium
2148,Retirees,Budget
2149,Retirees,Budget
2150,Retirees,Budget
2153,Young Singles/Couples,Budget
2154,Older Singles/Couples,Mainstream
2155,Young Singles/Couples,Budget
2161,Young Singles/Couples,Mainstream
2163,Older Families,Premium
2164,Young Singles/Couples,Mainstream
2166,Older Singles/Couples,Premium
2167,Older Singles/Couples,Mainstream
2168,Older Singles/Couples,Mainstream
2169,Young Singles/Couples,Premium
2170,Young Singles/Couples,Mainstream
2172,Older Families,Premium
2173,Older Families,Budget
2175,Older Singles/Couples,Mainstream
2176,Young Singles/Couples,Mainstream
2178,Older Singles/Couples,Mainstream
2180,Young Families,Budget
2181,Young Singles/Couples,Mainstream
2182,Older Singles/Couples,Premium
2183,Older Families,Mainstream
2184,Young Singles/Couples,Mainstream
2185,Young Families,Budget
2186,Older Families,Mainstream
2188,Young Singles/Couples,Mainstream
2190,Young Singles/Couples,Mainstream
2191,Older Families,Budget
2194,Midage Singles/Couples,Premium
2196,Young Families,Budget
2198,Midage Singles/Couples,Mainstream
2199,Older Singles/Couples,Mainstream
2200,Retirees,Budget
2202,Young Singles/Couples,Budget
2203,Midage Singles/Couples,Budget
2205,Retirees,Mainstream
2210,Young Singles/Couples,Mainstream
2211,Older Singles/Couples,Budget
2214,Older Singles/Couples,Mainstream
2216,Older Singles/Couples,Premium
2217,Retirees,Mainstream
2218,Young Singles/Couples,Budget
2219,Older Singles/Couples,Budget
2220,Older Families,Budget
2222,Midage Singles/Couples,Mainstream
2223,New Families,Premium
2224,Young Singles/Couples,Mainstream
2225,Midage Singles/Couples,Mainstream
2226,Older Families,Budget
2227,Retirees,Mainstream
2230,Retirees,Premium
2231,Midage Singles/Couples,Premium
2232,Midage Singles/Couples,Mainstream
2233,Older Singles/Couples,Budget
2234,New Families,Mainstream
2236,Older Singles/Couples,Budget
2237,Young Singles/Couples,Mainstream
2238,Retirees,Mainstream
2240,Older Singles/Couples,Budget
2242,Older Singles/Couples,Budget
2244,Young Singles/Couples,Budget
2245,Older Families,Budget
2246,Midage Singles/Couples,Premium
2247,Young Singles/Couples,Premium
2248,Retirees,Mainstream
2250,Young Singles/Couples,Mainstream
2253,Retirees,Budget
2254,Young Singles/Couples,Mainstream
2255,Older Singles/Couples,Budget
2256,Midage Singles/Couples,Budget
2257,Older Singles/Couples,Premium
2258,Older Families,Budget
2259,Young Families,Premium
2260,Young Families,Mainstream
2262,Young Singles/Couples,Premium
2265,Retirees,Budget
2270,Young Singles/Couples,Budget
2272,Young Singles/Couples,Budget
2273,Young Singles/Couples,Mainstream
2274,Young Families,Mainstream
2277,Young Singles/Couples,Mainstream
2278,Retirees,Premium
2279,Older Singles/Couples,Premium
2280,Older Singles/Couples,Premium
2281,Retirees,Mainstream
2283,Retirees,Budget
2285,Young Singles/Couples,Mainstream
2286,Young Singles/Couples,Premium
2287,Retirees,Mainstream
2288,Young Singles/Couples,Mainstream
2292,Young Families,Budget
2294,Midage Singles/Couples,Mainstream
2295,Young Singles/Couples,Premium
2298,Retirees,Mainstream
2302,Retirees,Mainstream
2303,Retirees,Mainstream
2304,Older Singles/Couples,Budget
2305,Retirees,Premium
2309,Older Singles/Couples,Budget
2310,Older Families,Budget
2311,New Families,Mainstream
2313,Midage Singles/Couples,Premium
2315,Young Singles/Couples,Mainstream
2319,Midage Singles/Couples,Premium
2320,Young Singles/Couples,Premium
2323,Young Families,Budget
2324,Young Singles/Couples,Premium
2326,Retirees,Budget
2327,Young Singles/Couples,Mainstream
2328,Young Families,Budget
2330,Young Singles/Couples,Premium
2331,Young Singles/Couples,Budget
2332,Young Singles/Couples,Mainstream
2335,Retirees,Budget
2339,Older Singles/Couples,Premium
2340,Older Singles/Couples,Mainstream
2342,Older Singles/Couples,Mainstream
2344,Older Singles/Couples,Premium
2345,Older Families,Premium
2346,Older Families,Premium
2347,Young Singles/Couples,Budget
2348,Older Singles/Couples,Budget
2349,Young Singles/Couples,Mainstream
2353,Retirees,Mainstream
2354,Retirees,Budget
2356,Retirees,Premium
2358,Young Families,Mainstream
2361,Older Families,Mainstream
2362,Older Singles/Couples,Premium
2363,Young Families,Budget
2364,Older Families,Mainstream
2365,Retirees,Mainstream
2367,Older Singles/Couples,Mainstream
2368,Midage Singles/Couples,Mainstream
2369,Young Singles/Couples,Mainstream
2370,Young Families,Budget
2371,Older Singles/Couples,Budget
2372,New Families,Budget
2373,Midage Singles/Couples,Budget
2375,Retirees,Mainstream
2376,Older Singles/Couples,Budget
2377,Young Singles/Couples,Budget
2378,Older Singles/Couples,Premium
2380,Older Families,Mainstream
2381,Older Singles/Couples,Budget
2382,Midage Singles/Couples,Premium
2383,Young Families,Budget
2384,Midage Singles/Couples,Mainstream
2385,Young Families,Premium
2386,Midage Singles/Couples,Budget
2387,New Families,Mainstream
2389,Midage Singles/Couples,Budget
2394,Retirees,Mainstream
2395,Young Families,Premium
2396,Retirees,Budget
2398,Retirees,Mainstream
2399,Young Families,Budget
2400,Young Singles/Couples,Mainstream
2401,Older Singles/Couples,Mainstream
2402,Young Families,Budget
2404,Older Singles/Couples,Premium
2409,Older Singles/Couples,Mainstream
2410,Older Singles/Couples,Budget
2411,Retirees,Mainstream
2412,New Families,Budget
2413,Retirees,Budget
2414,Older Singles/Couples,Mainstream
2415,Young Families,Budget
2417,Older Singles/Couples,Mainstream
2418,Young Singles/Couples,Premium
2419,Young Singles/Couples,Premium
2421,Midage Singles/Couples,Mainstream
2425,Young Singles/Couples,Mainstream
2426,Midage Singles/Couples,Budget
2427,Older Singles/Couples,Mainstream
2428,Young Families,Budget
2429,Older Families,Mainstream
2430,Young Singles/Couples,Budget
2431,Retirees,Premium
2433,Older Singles/Couples,Budget
2434,Retirees,Mainstream
2437,Retirees,Mainstream
2438,Midage Singles/Couples,Budget
2439,Retirees,Premium
2441,Midage Singles/Couples,Mainstream
2444,Midage Singles/Couples,Budget
2447,Young Singles/Couples,Mainstream
2448,Young Families,Premium
2450,Older Singles/Couples,Budget
2451,New Families,Budget
2452,Older Singles/Couples,Budget
2454,Midage Singles/Couples,Budget
2456,Young Singles/Couples,Budget
2457,Young Singles/Couples,Mainstream
2458,Young Singles/Couples,Premium
2460,Older Singles/Couples,Premium
2466,Young Singles/Couples,Budget
2467,Older Singles/Couples,Premium
2468,Older Singles/Couples,Budget
2469,Older Families,Mainstream
2470,Young Families,Budget
2471,Young Families,Premium
2472,Young Families,Premium
2477,Young Singles/Couples,Premium
2478,Older Singles/Couples,Premium
2479,Young Families,Budget
2480,Retirees,Premium
2481,Midage Singles/Couples,Budget
2482,Retirees,Budget
2483,Older Singles/Couples,Premium
2484,Retirees,Mainstream
2486,Older Families,Premium
2489,Young Families,Mainstream
2491,Midage Singles/Couples,Premium
2492,Older Singles/Couples,Mainstream
2493,Young Singles/Couples,Premium
2494,Young Singles/Couples,Mainstream
3000,Older Singles/Couples,Budget
3001,Young Families,Budget
3002,Older Singles/Couples,Premium
3003,Retirees,Budget
3004,Retirees,Premium
3005,Retirees,Mainstream
3006,Young Singles/Couples,Mainstream
3007,Midage Singles/Couples,Mainstream
3008,Retirees,Budget
3009,Older Singles/Couples,Mainstream
3010,Retirees,Mainstream
3011,Retirees,Premium
3012,Older Families,Budget
3013,Older Families,Premium
3014,Young Singles/Couples,Mainstream
3015,Young Families,Budget
3016,Young Families,Budget
3017,Retirees,Mainstream
3018,Older Singles/Couples,Budget
3019,Older Singles/Couples,Mainstream
3020,Midage Singles/Couples,Premium
3022,Young Families,Budget
3023,Midage Singles/Couples,Premium
3024,Older Singles/Couples,Premium
3025,Young Families,Premium
3026,Young Singles/Couples,Mainstream
3027,Older Singles/Couples,Premium
3028,Young Families,Mainstream
3029,Midage Singles/Couples,Premium
3030,Older Singles/Couples,Premium
3031,Young Singles/Couples,Mainstream
3032,Young Singles/Couples,Mainstream
3033,Retirees,Budget
3034,Retirees,Mainstream
3035,Older Singles/Couples,Budget
3036,New Families,Mainstream
3037,Older Singles/Couples,Budget
3038,Retirees,Budget
3039,Young Singles/Couples,Budget
3040,Retirees,Budget
3041,Young Singles/Couples,Budget
3042,Midage Singles/Couples,Premium
3043,Retirees,Premium
3044,Retirees,Premium
3045,Retirees,Mainstream
3046,Older Singles/Couples,Premium
3047,Older Families,Mainstream
3048,Older Singles/Couples,Premium
3049,Older Families,Mainstream
3050,Young Families,Premium
3051,Older Singles/Couples,Budget
3052,Midage Singles/Couples,Mainstream
3053,Older Singles/Couples,Mainstream
3054,Young Families,Budget
3055,Older Families,Mainstream
3056,Older Families,Budget
3057,Older Singles/Couples,Mainstream
3058,Older Singles/Couples,Mainstream
3059,Retirees,Mainstream
3060,Retirees,Mainstream
3061,Young Families,Mainstream
3062,Older Singles/Couples,Budget
3063,Retirees,Premium
3064,Retirees,Mainstream
3065,Retirees,Mainstream
3066,Young Singles/Couples,Mainstream
3067,Retirees,Premium
3068,Older Families,Mainstream
3069,Older Singles/Couples,Mainstream
3070,Older Families,Budget
3071,Young Singles/Couples,Budget
3072,Retirees,Budget
3073,Young Singles/Couples,Mainstream
3074,Retirees,Mainstream
3075,Young Singles/Couples,Mainstream
3076,Retirees,Mainstream
3077,Retirees,Premium
3078,Older Families,Premium
3079,Older Singles/Couples,Budget
3080,Retirees,Budget
3081,Retirees,Budget
3082,Young Singles/Couples,Premium
3083,Young Singles/Couples,Mainstream
3084,Older Families,Premium
3085,Retirees,Premium
3086,Older Singles/Couples,Budget
3087,Retirees,Budget
3088,Older Families,Budget
3089,Older Singles/Couples,Mainstream
3090,Young Families,Budget
3091,Older Singles/Couples,Mainstream
3092,Retirees,Mainstream
3093,Young Singles/Couples,Mainstream
3094,Midage Singles/Couples,Mainstream
3095,Older Singles/Couples,Premium
3096,Retirees,Mainstream
3097,Retirees,Budget
3098,Young Singles/Couples,Budget
3099,Retirees,Mainstream
3100,Older Families,Mainstream
3101,Young Singles/Couples,Premium
3102,Young Families,Premium
3103,Retirees,Premium
3104,Young Singles/Couples,Budget
3105,Older Singles/Couples,Mainstream
3106,Young Singles/Couples,Budget
3107,Older Singles/Couples,Premium
3108,Young Singles/Couples,Budget
3109,Young Singles/Couples,Budget
3110,Young Singles/Couples,Mainstream
3111,Retirees,Premium
3112,New Families,Premium
3113,Young Singles/Couples,Mainstream
3114,Midage Singles/Couples,Mainstream
3115,Midage Singles/Couples,Mainstream
3116,Young Singles/Couples,Mainstream
3117,Midage Singles/Couples,Premium
3118,Young Singles/Couples,Mainstream
3119,Retirees,Premium
3120,Young Singles/Couples,Mainstream
3121,Older Families,Budget
3122,Older Families,Budget
3123,Older Singles/Couples,Budget
3124,Retirees,Budget
3125,Older Singles/Couples,Budget
3126,Retirees,Premium
3127,Older Families,Mainstream
3128,Older Singles/Couples,Premium
3129,Older Families,Budget
3130,Young Families,Mainstream
3131,Young Singles/Couples,Mainstream
3132,Older Singles/Couples,Premium
3133,New Families,Premium
3134,Midage Singles/Couples,Mainstream
3135,Young Families,Premium
3136,New Families,Premium
3137,Midage Singles/Couples,Mainstream
3138,Retirees,Premium
3139,Older Singles/Couples,Premium
3140,Older Singles/Couples,Mainstream
3141,Young Families,Budget
3142,Young Singles/Couples,Premium
3143,Older Singles/Couples,Premium
3144,Retirees,Premium
3145,Young Singles/Couples,Budget
3146,Young Singles/Couples,Mainstream
3147,Older Families,Budget
3148,Retirees,Mainstream
3149,Retirees,Mainstream
3150,Young Families,Mainstream
3151,Retirees,Mainstream
3152,Retirees,Mainstream
3153,Midage Singles/Couples,Premium
3154,Retirees,Mainstream
3155,Young Singles/Couples,Budget
3156,Retirees,Mainstream
3157,Older Singles/Couples,Mainstream
3158,Older Singles/Couples,Mainstream
3159,Midage Singles/Couples,Mainstream
3160,Older Singles/Couples,Premium
3161,Retirees,Premium
3162,Older Singles/Couples,Budget
3163,Young Families,Mainstream
3164,Midage Singles/Couples,Budget
3165,Older Singles/Couples,Premium
3166,Older Singles/Couples,Premium
3167,Midage Singles/Couples,Budget
3168,Young Singles/Couples,Mainstream
3169,New Families,Mainstream
3170,Young Singles/Couples,Mainstream
3171,Older Singles/Couples,Budget
3172,Retirees,Budget
3173,Older Singles/Couples,Mainstream
3174,Older Singles/Couples,Mainstream
3175,Young Families,Budget
3176,Older Families,Mainstream
3177,New Families,Premium
3178,Older Singles/Couples,Budget
3179,Young Families,Mainstream
3180,Retirees,Budget
3181,Older Singles/Couples,Premium
3182,Young Singles/Couples,Mainstream
3183,Older Singles/Couples,Mainstream
3184,New Families,Budget
3185,Older Singles/Couples,Premium
3186,Retirees,Budget
3187,Retirees,Budget
3188,New Families,Budget
3189,Retirees,Budget
3190,Older Singles/Couples,Mainstream
3191,Retirees,Budget
3192,Young Families,Mainstream
3193,Young Families,Premium
3194,Older Families,Budget
3195,Retirees,Mainstream
3196,Midage Singles/Couples,Premium
3197,Retirees,Mainstream
3198,Older Singles/Couples,Premium
3199,Older Singles/Couples,Budget
3201,Older Singles/Couples,Budget
3202,Older Singles/Couples,Mainstream
3203,Young Families,Budget
3204,Retirees,Premium
3205,Older Families,Budget
3206,Older Families,Budget
3207,Young Singles/Couples,Mainstream
3208,Young Families,Premium
3209,Young Families,Mainstream
3210,Retirees,Premium
3211,Retirees,Budget
3212,Retirees,Mainstream
3213,Older Singles/Couples,Premium
3214,Older Families,Budget
3215,Retirees,Premium
3216,Older Singles/Couples,Mainstream
3217,Retirees,Budget
3218,Young Families,Budget
3219,Retirees,Budget
3220,Older Singles/Couples,Premium
3221,Young Singles/Couples,Budget
3222,Retirees,Budget
3223,Young Families,Premium
3224,Retirees,Mainstream
3225,Young Families,Premium
3226,Older Families,Budget
3227,Young Families,Budget
3228,Older Families,Mainstream
3229,Retirees,Mainstream
3230,Older Singles/Couples,Mainstream
3231,Young Singles/Couples,Mainstream
3232,Retirees,Budget
3233,Older Singles/Couples,Budget
3234,Retirees,Mainstream
3235,Older Singles/Couples,Budget
3236,Young Families,Mainstream
3237,Young Singles/Couples,Budget
3238,Young Singles/Couples,Mainstream
3239,Older Families,Mainstream
3240,Older Families,Premium
3241,Young Families,Premium
3242,Young Singles/Couples,Premium
